id,enter,total_agents,exit_south,exit_east,exit_north,exit_west
222,1,64,-1,-1,1,-1
245,1,87,-1,-1,2,-1
166,1,8,-1,-1,2,-1
198,1,40,-1,-1,5,-1
182,1,24,-1,-1,6,-1
191,1,33,-1,-1,7,-1
202,1,44,-1,-1,8,-1
197,1,39,-1,-1,8,-1
163,1,5,-1,-1,9,-1
177,1,19,-1,-1,10,-1
213,1,55,-1,-1,11,-1
238,1,80,-1,-1,12,-1
176,1,18,-1,-1,14,-1
246,1,88,-1,-1,15,-1
250,1,92,-1,-1,15,-1
188,1,30,-1,-1,16,-1
162,1,4,-1,-1,17,-1
265,2,106,-1,-1,19,-1
171,1,13,-1,-1,19,-1
173,1,15,-1,-1,20,-1
248,1,90,-1,-1,20,-1
281,19,106,-1,-1,20,-1
224,1,66,-1,-1,21,-1
247,1,89,-1,-1,21,-1
261,1,103,-1,-1,22,-1
229,1,71,-1,-1,22,-1
190,1,32,-1,-1,25,-1
175,1,17,-1,-1,26,-1
232,1,74,-1,-1,26,-1
227,1,69,-1,-1,28,-1
204,1,46,-1,-1,28,-1
263,1,105,-1,-1,28,-1
180,1,22,-1,-1,29,-1
269,7,106,-1,-1,29,-1
218,1,60,-1,-1,30,-1
161,1,3,-1,-1,30,-1
172,1,14,-1,-1,30,-1
168,1,10,-1,-1,30,-1
221,1,63,-1,-1,30,-1
255,1,97,-1,-1,30,-1
278,15,106,-1,-1,31,-1
212,1,54,-1,-1,32,-1
201,1,43,-1,-1,33,-1
259,1,101,-1,-1,34,-1
260,1,102,-1,-1,34,-1
277,15,106,-1,-1,34,-1
251,1,93,-1,-1,34,-1
210,1,52,-1,-1,35,-1
186,1,28,-1,-1,35,-1
165,1,7,-1,-1,35,-1
271,8,106,-1,-1,35,-1
311,35,106,-1,-1,36,-1
211,1,53,-1,-1,36,-1
294,28,106,-1,-1,36,-1
275,12,106,-1,-1,36,-1
230,1,72,-1,-1,38,-1
287,21,106,-1,-1,38,-1
167,1,9,-1,-1,38,-1
183,1,25,-1,-1,39,-1
313,35,106,-1,-1,39,-1
256,1,98,-1,-1,40,-1
235,1,77,-1,-1,40,-1
164,1,6,-1,-1,41,-1
160,1,2,-1,-1,42,-1
292,26,106,-1,-1,42,-1
184,1,26,-1,-1,42,-1
270,8,106,-1,-1,42,-1
312,35,106,-1,-1,42,-1
195,1,37,-1,-1,42,-1
194,1,36,-1,-1,43,-1
159,1,1,-1,-1,43,-1
297,29,106,-1,-1,44,-1
295,28,106,-1,-1,44,-1
253,1,95,-1,-1,45,-1
324,40,106,-1,-1,45,-1
181,1,23,-1,-1,47,-1
309,34,106,-1,-1,47,-1
330,42,106,-1,-1,47,-1
169,1,11,-1,-1,48,-1
303,30,106,-1,-1,48,-1
290,25,106,-1,-1,49,-1
301,30,106,-1,-1,50,-1
