id,enter,total_agents,exit_south,exit_east,exit_north,exit_west
56,1,10,-1,-1,1,-1
95,1,49,-1,-1,8,-1
49,1,3,-1,-1,11,-1
79,1,33,-1,-1,12,-1
68,1,22,-1,-1,13,-1
84,1,38,-1,-1,13,-1
73,1,27,-1,-1,15,-1
88,1,42,-1,-1,16,-1
48,1,2,-1,-1,17,-1
94,1,48,-1,-1,17,-1
71,1,25,-1,-1,22,-1
63,1,17,-1,-1,23,-1
65,1,19,-1,-1,25,-1
96,1,50,-1,-1,26,-1
57,1,11,-1,-1,26,-1
97,1,51,-1,-1,27,-1
89,1,43,-1,-1,28,-1
70,1,24,-1,-1,30,-1
67,1,21,-1,-1,31,-1
103,15,51,-1,-1,31,-1
92,1,46,-1,-1,31,-1
82,1,36,-1,-1,32,-1
55,1,9,-1,-1,33,-1
93,1,47,-1,-1,33,-1
61,1,15,-1,-1,34,-1
62,1,16,-1,-1,35,-1
51,1,5,-1,-1,36,-1
52,1,6,-1,-1,38,-1
78,1,32,-1,-1,38,-1
59,1,13,-1,-1,40,-1
99,11,51,-1,-1,41,-1
90,1,44,-1,-1,42,-1
104,16,51,-1,-1,42,-1
98,8,51,-1,-1,43,-1
66,1,20,-1,-1,43,-1
107,22,51,-1,-1,44,-1
80,1,34,-1,-1,44,-1
85,1,39,-1,-1,45,-1
54,1,8,-1,-1,46,-1
83,1,37,-1,-1,46,-1
109,25,51,-1,-1,50,-1
128,42,51,-1,-1,51,-1
124,38,51,-1,-1,55,-1
64,1,18,-1,-1,55,-1
102,13,51,-1,-1,55,-1
50,1,4,-1,-1,55,-1
72,1,26,-1,-1,56,-1
74,1,28,-1,-1,57,-1
116,31,51,-1,-1,58,-1
101,13,51,-1,-1,60,-1
123,36,51,-1,-1,61,-1
75,1,29,-1,-1,62,-1
121,34,51,-1,-1,62,-1
127,41,51,-1,-1,64,-1
58,1,12,-1,-1,64,-1
131,43,51,-1,-1,65,-1
100,12,51,-1,-1,66,-1
86,1,40,-1,-1,69,-1
153,66,51,-1,-1,69,-1
77,1,31,-1,-1,70,-1
106,17,51,-1,-1,70,-1
87,1,41,-1,-1,72,-1
129,42,51,-1,-1,73,-1
76,1,30,-1,-1,74,-1
120,33,51,-1,-1,74,-1
156,70,51,-1,-1,75,-1
159,73,51,-1,-1,76,-1
137,50,51,-1,-1,76,-1
108,23,51,-1,-1,77,-1
47,1,1,-1,-1,77,-1
105,17,51,-1,-1,78,-1
136,46,51,-1,-1,78,-1
81,1,35,-1,-1,81,-1
125,38,51,-1,-1,81,-1
60,1,14,-1,-1,81,-1
130,43,51,-1,-1,81,-1
139,55,51,-1,-1,81,-1
147,61,51,-1,-1,81,-1
151,64,51,-1,-1,83,-1
170,81,51,-1,-1,84,-1
113,28,51,-1,-1,84,-1
91,1,45,-1,-1,85,-1
140,55,51,-1,-1,85,-1
